"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"DOW","Dow Inc.","Common stocks","Large cap","Materials","$32,231,356,368","6.13%","4.58","0.55","1.67","Analyze"
"RMD","Resmed Inc","Common stocks","Large cap","Health Care","$32,100,894,141","0.77%","40.40","9.34","9.60","Analyze"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$31,974,563,000","0.00%","44.70","6.87","2.87","Analyze"
"BK","Bank Of New York Mellon Corp","Common stocks","Large cap","Financials","$31,685,727,374","3.50%","9.17","2.03","0.74","Analyze"
"KR","Kroger","Common stocks","Large cap","Consumer Staples","$31,681,587,679","2.00%","30.03","0.00","3.46","Analyze"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$31,678,123,069","0.00%","22.34","1.20","4.11","Analyze"
"BF.B","Brown Forman Inc Class B","Common stocks","Large cap","Consumer Staples","$31,300,283,432","1.15%","24.83","8.35","7.95","Analyze"
"CMI","Cummins Inc","Common stocks","Large cap","Industrials","$30,911,156,895","2.67%","15.94","1.27","3.68","Analyze"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$30,909,005,602","1.68%","3.90","0.77","2.05","Analyze"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$30,670,833,272","2.04%","18.17","4.62","-3.53","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$30,554,401,549","1.53%","15.53","1.27","2.55","Analyze"
"GPN","Global Payments Inc","Common stocks","Large cap","Information Technology","$30,418,626,958","0.91%","29.48","3.50","1.19","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$30,289,854,374","7.13%","13.94","5.86","9.53","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$30,109,193,505","1.80%","13.50","1.59","2.47","Analyze"
"LVS","Las Vegas Sands Corp","Common stocks","Large cap","Consumer Discretionary","$30,023,692,422","0.00%","15.04","7.54","6.13","Analyze"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$29,960,371,034","1.59%","11.13","1.46","4.17","Analyze"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$29,938,632,151","0.41%","26.37","5.32","8.54","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$29,802,282,894","1.41%","26.30","1.57","7.36","Analyze"
"AMP","Ameriprise Finance Inc","Common stocks","Large cap","Financials","$29,518,370,954","1.73%","9.34","2.14","5.75","Analyze"
"VICI","VICI Properties Inc","REITs","Large cap","Real Estate","$29,229,885,418","4.76%","30.05","18.84","1.92","Analyze"
"WBD","Warner Bros. Discovery, Inc. - Series A","Common stocks","Large cap","Communication Services","$29,179,666,189","0.00%","22.66","2.32","2.35","Analyze"
"ED","Consolidated Edison Inc","Common stocks","Large cap","Utilities","$28,894,894,188","3.81%","18.92","2.06","1.42","Analyze"
"TDG","Transdigm Group Inc","Common stocks","Large cap","Industrials","$28,826,804,357","0.00%","31.92","5.74","-9.78","Analyze"
"CSGP","Costar Group Inc","Common stocks","Large cap","Industrials","$28,789,482,692","0.00%","93.14","14.38","4.94","Analyze"
"KEYS","Keysight Technologies Inc","Common stocks","Large cap","Information Technology","$28,664,618,808","0.00%","27.27","5.58","7.38","Analyze"
"ABC","AmerisourceBergen Corp","Common stocks","Large cap","Health Care","$28,522,858,621","1.33%","17.01","0.12","53.37","Analyze"
"NDAQ","Nasdaq Inc","Common stocks","Large cap","Financials","$28,343,971,000","1.31%","24.35","4.91","4.75","Analyze"
"CEG","Constellation Energy Corporation","Common stocks","Large cap","Utilities","$27,690,330,258","0.50%","-43.27","1.32","2.44","Analyze"
"BAX","Baxter International Inc","Common stocks","Large cap","Health Care","$27,688,517,496","2.06%","26.59","2.04","3.10","Analyze"
"SBAC","SBA Communications Corporation","REITs","Large cap","Real Estate","$27,665,401,062","1.05%","62.86","11.62","-5.08","Analyze"
"PEG","Public Service Enterprise Group Inc","Common stocks","Large cap","Utilities","$27,641,840,413","3.80%","-21.19","3.02","2.02","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$27,517,931,768","5.90%","4.48","0.20","1.06","Analyze"
"OTIS","Otis Worldwide Corporation","Common stocks","Large cap","Industrials","$27,319,257,226","1.62%","21.79","1.91","-5.41","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$27,034,143,088","0.00%","36.92","8.26","42.38","Analyze"
"WEC","WEC Energy Group Inc","Common stocks","Large cap","Utilities","$26,906,565,494","3.32%","19.81","3.15","2.38","Analyze"
"ON","ON Semiconductor Corp","Common stocks","Large cap","Information Technology","$26,830,330,128","0.00%","17.77","3.72","5.15","Analyze"
"HAL","Halliburton","Common stocks","Large cap","Energy","$26,800,204,981","1.37%","17.30","1.66","3.82","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$26,631,395,565","0.72%","26.52","8.74","10.01","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Industrials","$26,532,920,057","2.60%","27.09","4.21","8.48","Analyze"
"AME","Ametek Inc","Common stocks","Large cap","Industrials","$26,523,182,847","0.74%","25.32","4.58","3.81","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$26,393,352,538","0.00%","24.16","7.84","6.01","Analyze"
"WELL","Welltower Inc","REITs","Large cap","Real Estate","$26,044,131,194","2.12%","80.88","5.15","1.48","Analyze"
"PPG","PPG Industries Inc","Common stocks","Large cap","Materials","$26,025,958,949","2.14%","24.12","1.51","4.19","Analyze"
"ROK","Rockwell Automation Inc","Common stocks","Large cap","Industrials","$26,011,053,274","1.97%","40.45","3.55","9.91","Analyze"
"ES","Eversource Energy","Common stocks","Large cap","Utilities","$25,972,855,401","3.32%","19.87","2.47","1.74","Analyze"
"DD","DuPont de Nemours, Inc.","Common stocks","Large cap","Materials","$25,911,655,959","2.47%","16.62","1.62","0.99","Analyze"
"DLR","Digital Realty Trust, Inc","REITs","Large cap","Real Estate","$25,774,735,271","5.30%","18.86","5.77","1.46","Analyze"
"GWW","W.W. Grainger Inc","Common stocks","Large cap","Industrials","$25,645,186,823","1.32%","22.33","1.89","12.57","Analyze"
"LYB","Lyondellbasell Industries NV","Common stocks","Large cap","Materials","$25,610,433,296","5.71%","4.33","0.51","2.00","Analyze"
"GLW","Corning Inc","Common stocks","Large cap","Information Technology","$25,469,435,679","3.45%","23.29","1.76","2.04","Analyze"
"MTD","Mettler Toledo Inc","Common stocks","Large cap","Health Care","$25,366,749,999","0.00%","31.58","6.66","296.27","Analyze"
"HPQ","HP Inc","Common stocks","Large cap","Information Technology","$25,138,411,337","3.96%","3.82","0.39","-10.71","Analyze"
"DFS","Discover Financial Services","Common stocks","Large cap","Financials","$25,098,980,147","2.38%","4.96","2.06","1.85","Analyze"
"DHI","D R Horton Inc","Common stocks","Large cap","Consumer Discretionary","$25,091,638,176","1.24%","5.02","0.82","1.51","Analyze"
"HRL","Hormel Foods Corp","Common stocks","Large cap","Consumer Staples","$24,731,827,509","2.25%","27.13","2.07","3.54","Analyze"
"FANG","Diamondback Energy Inc","Common stocks","Large cap","Energy","$24,335,515,269","1.79%","8.82","3.03","1.90","Analyze"
"FRC","First Republic Bank","Common stocks","Large cap","Financials","$24,110,398,504","0.73%","16.43","4.62","1.45","Analyze"
"K","Kellogg","Common stocks","Large cap","Consumer Staples","$24,097,012,781","3.26%","15.87","1.69","6.45","Analyze"
"TROW","T Rowe Price Group Inc","Common stocks","Large cap","Financials","$23,898,486,807","4.35%","8.16","3.10","2.58","Analyze"
"AVB","AvalonBay Communities, Inc","REITs","Large cap","Real Estate","$23,891,511,333","3.68%","21.73","10.13","2.23","Analyze"
"OKE","Oneok Inc","Common stocks","Large cap","Energy","$23,813,288,077","6.86%","15.93","1.27","4.00","Analyze"
"EQR","Equity Residential","REITs","Large cap","Real Estate","$23,356,943,946","3.94%","17.66","9.27","2.19","Analyze"
"RJF","Raymond James Inc","Common stocks","Large cap","Financials","$23,168,812,999","1.26%","15.00","2.21","2.63","Analyze"
"AWK","American Water Works Inc","Common stocks","Large cap","Utilities","$23,166,868,119","1.96%","18.03","5.96","3.11","Analyze"
"IT","Gartner Inc","Common stocks","Large cap","Information Technology","$22,927,739,442","0.00%","28.53","4.69","193.62","Analyze"
"IFF","International Flavors & Fragrances","Common stocks","Large cap","Materials","$22,708,136,861","3.53%","39.71","1.83","1.05","Analyze"
"STT","State Street Corp","Common stocks","Large cap","Financials","$22,652,704,902","3.75%","8.39","2.00","0.85","Analyze"
"CTRA","Coterra Energy Inc.","Common stocks","Large cap","Energy","$22,650,594,689","1.99%","13.97","4.85","1.96","Analyze"
"WTW","Willis Towers Watson Public Limited Company","Common stocks","Large cap","Financials","$22,644,108,527","1.58%","5.13","2.48","2.02","Analyze"
"BKR","Baker Hughes Company Class A","Common stocks","Large cap","Energy","$22,632,944,206","0.79%","73.57","1.10","1.43","Analyze"
"FITB","Fifth Third Bancorp","Common stocks","Large cap","Financials","$22,630,531,293","3.68%","9.07","3.21","1.10","Analyze"
"APTV","Aptiv Plc","Common stocks","Large cap","Consumer Discretionary","$22,595,639,145","0.00%","69.14","1.43","2.64","Analyze"
"ZBH","Zimmer Biomet Holdings Inc","Common stocks","Large cap","Health Care","$22,438,102,463","0.89%","56.59","2.93","1.89","Analyze"
"CBRE","CBRE Group Inc","Common stocks","Large cap","Real Estate","$22,308,570,654","0.00%","11.33","0.77","2.63","Analyze"
"LEN","Lennar Corporation Class A","Common stocks","Large cap","Consumer Discretionary","$22,197,032,888","1.75%","5.06","0.79","0.96","Analyze"
"EXR","Extra Space Storage Inc","REITs","Large cap","Real Estate","$22,178,511,402","3.43%","27.20","13.34","7.02","Analyze"
"EIX","Edison International","Common stocks","Large cap","Utilities","$22,065,840,332","4.76%","37.53","1.39","1.39","Analyze"
"GPC","Genuine Parts","Common stocks","Large cap","Consumer Discretionary","$21,851,081,466","2.24%","23.92","1.11","6.17","Analyze"
"TSCO","Tractor Supply","Common stocks","Large cap","Consumer Discretionary","$21,714,947,215","1.67%","22.22","1.68","12.45","Analyze"
"ARE","Alexandria Real Estate Equities, Inc","REITs","Large cap","Real Estate","$21,561,058,237","3.49%","54.45","9.59","1.30","Analyze"
"CDW","CDW Corp","Common stocks","Large cap","Information Technology","$21,406,383,520","1.26%","20.49","0.98","23.09","Analyze"
"WY","Weyerhaeuser Company","REITs","Large cap","Real Estate","$21,372,894,050","2.42%","8.09","1.98","2.13","Analyze"
"CF","CF Industries Holdings Inc","Common stocks","Large cap","Materials","$21,227,224,794","1.31%","12.43","2.54","5.12","Analyze"
"FTV","Fortive Corp","Common stocks","Large cap","Industrials","$21,192,429,167","0.47%","32.61","3.95","2.20","Analyze"
"FE","Firstenergy Corp","Common stocks","Large cap","Utilities","$21,027,346,488","4.18%","16.98","1.85","2.40","Analyze"
"VMC","Vulcan Materials","Common stocks","Large cap","Materials","$21,022,275,118","0.99%","34.39","3.49","3.16","Analyze"
"ETR","Entergy Corp","Common stocks","Large cap","Utilities","$20,795,421,629","3.90%","19.41","1.77","1.75","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$20,634,255,883","2.23%","1.75","2.01","2.88","Analyze"
"EFX","Equifax Inc","Common stocks","Large cap","Industrials","$20,630,556,912","0.92%","26.23","4.07","5.23","Analyze"
"HIG","Hartford Financial Services Group","Common stocks","Large cap","Financials","$20,616,483,716","2.40%","8.15","0.96","1.31","Analyze"
"DTE","DTE Energy","Common stocks","Large cap","Utilities","$20,605,801,377","3.29%","22.81","1.27","2.32","Analyze"
"MKC","McCormick & Co  Non-voting","Common stocks","Large cap","Consumer Staples","$20,401,468,116","1.94%","25.39","3.21","4.13","Analyze"
"MOH","Molina Healthcare Inc","Common stocks","Large cap","Health Care","$20,361,145,000","0.00%","29.74","0.70","7.33","Analyze"
"SIVB","SVB Financial Group","Common stocks","Large cap","Financials","$20,119,888,145","0.00%","11.60","3.58","1.24","Analyze"
"AEE","Ameren Corp","Common stocks","Large cap","Utilities","$20,072,812,302","2.97%","19.94","2.99","2.05","Analyze"
"ULTA","Ulta Beauty Inc","Common stocks","Large cap","Consumer Discretionary","$19,991,750,669","0.00%","20.62","2.32","13.24","Analyze"
"MLM","Martin Marietta Materials Inc","Common stocks","Large cap","Materials","$19,893,341,767","0.78%","30.07","3.51","3.08","Analyze"
"URI","United Rentals Inc","Common stocks","Large cap","Industrials","$19,737,272,637","0.00%","12.54","1.94","3.20","Analyze"
"TTWO","Take Two Interactive Software Inc","Common stocks","Large cap","Communication Services","$19,657,834,133","0.00%","45.89","5.61","5.04","Analyze"
"INVH","Invitation Homes Inc","REITs","Large cap","Real Estate","$19,616,967,475","2.56%","67.93","9.55","1.98","Analyze"
"MRO","Marathon Oil Corp","Common stocks","Large cap","Energy","$19,475,652,440","1.05%","8.89","3.15","1.68","Analyze"
"PAYC","Paycom Software Inc","Common stocks","Large cap","Information Technology","$19,447,336,225","0.00%","85.87","17.11","19.00","Analyze"
"HBAN","Huntington Bancshares Inc","Common stocks","Large cap","Financials","$19,080,231,171","4.61%","17.40","3.04","1.02","Analyze"
"MOS","Mosaic","Common stocks","Large cap","Materials","$19,073,427,609","0.92%","6.75","1.36","1.54","Analyze"
"LH","Laboratory Corporation Of America","Common stocks","Large cap","Health Care","$19,069,317,000","0.70%","9.02","1.20","1.77","Analyze"
"VRSN","Verisign Inc","Common stocks","Large cap","Information Technology","$18,988,061,533","0.00%","23.69","14.06","-14.60","Analyze"
"PFG","Principal Financial Group Inc","Common stocks","Large cap","Financials","$18,971,945,940","3.32%","12.02","1.34","1.59","Analyze"
"RF","Regions Financial Corp","Common stocks","Large cap","Financials","$18,930,869,545","3.46%","8.05","3.25","1.09","Analyze"
"DAL","Delta Air Lines Inc","Common stocks","Large cap","Industrials","$18,864,042,748","0.00%","35.84","0.54","6.18","Analyze"
"LUV","Southwest Airlines","Common stocks","Large cap","Industrials","$18,785,466,097","0.00%","31.91","1.02","1.79","Analyze"
"EPAM","Epam Systems Inc","Common stocks","Large cap","Information Technology","$18,668,509,721","0.00%","39.71","4.50","7.19","Analyze"
"TSN","Tyson Foods Inc Class A","Common stocks","Large cap","Consumer Staples","$18,564,447,777","2.85%","4.57","0.36","0.97","Analyze"
"PWR","Quanta Services Inc","Common stocks","Large cap","Industrials","$18,454,252,142","0.22%","38.50","1.30","3.60","Analyze"
"PPL","PPL Corporation","Common stocks","Large cap","Utilities","$18,308,915,205","4.22%","28.77","3.02","1.31","Analyze"
"IR","Ingersoll Rand Plc","Common stocks","Large cap","Industrials","$18,207,656,489","0.18%","15.04","3.40","2.04","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$18,206,928,538","0.00%","38.49","9.25","4.00","Analyze"
"WST","West Pharmaceutical Services Inc","Common stocks","Large cap","Health Care","$18,202,476,164","0.29%","25.93","6.32","7.63","Analyze"
"CAH","Cardinal Health Inc","Common stocks","Large cap","Health Care","$18,021,284,885","2.83%","-19.30","0.10","-26.44","Analyze"
"LYV","Live Nation Entertainment Inc","Common stocks","Large cap","Communication Services","$17,951,600,503","0.00%","-39.87","2.31","-34.53","Analyze"
"ROL","Rollins Inc","Common stocks","Large cap","Industrials","$17,948,611,751","1.09%","54.18","7.24","16.17","Analyze"
"WRB","WR Berkley Corp","Common stocks","Large cap","Financials","$17,929,800,718","0.55%","13.05","1.75","2.63","Analyze"
"NTRS","Northern Trust Corporation","Common stocks","Large cap","Financials","$17,781,622,093","3.31%","11.61","2.79","1.54","Analyze"
"BRO","Brown & Brown Inc","Common stocks","Large cap","Financials","$17,531,936,477","0.66%","28.80","5.59","4.04","Analyze"
"J","Jacobs Engineering Group Inc.","Common stocks","Large cap","Industrials","$17,485,555,712","0.68%","0.00","1.22","0.00","Analyze"
"DOV","Dover Corp","Common stocks","Large cap","Industrials","$17,314,918,013","1.65%","15.36","2.14","3.96","Analyze"
"CHD","Church And Dwight Inc","Common stocks","Large cap","Consumer Staples","$17,287,859,578","1.46%","21.53","3.29","5.13","Analyze"
"CFG","Citizens Financial Group Inc","Common stocks","Large cap","Financials","$17,183,956,713","4.52%","8.44","2.59","0.77","Analyze"
"BR","Broadridge Financial Solutions Inc","Common stocks","Large cap","Information Technology","$16,885,624,168","1.83%","30.38","3.06","9.20","Analyze"
"STE","STERIS PLC","Common stocks","Large cap","Health Care","$16,858,467,550","1.04%","69.16","3.68","2.58","Analyze"
"JBHT","JB Hunt Transport Services Inc","Common stocks","Large cap","Industrials","$16,841,606,189","0.92%","19.81","1.29","5.22","Analyze"
"CNP","Centerpoint Energy Inc","Common stocks","Large cap","Utilities","$16,807,727,724","2.56%","10.63","1.96","1.68","Analyze"
"MAA","Mid-America Apartment Communities, Inc","REITs","Large cap","Real Estate","$16,680,911,224","3.05%","28.57","9.12","2.86","Analyze"
"AES","AES Corp","Common stocks","Large cap","Utilities","$16,624,867,603","2.48%","-112.91","1.46","5.42","Analyze"
"FOX","Fox Corporation Class B","Common stocks","Large cap","Communication Services","$16,497,840,229","1.69%","5.98","1.19","0.62","Analyze"
"FOXA","Fox Corporation Class A","Common stocks","Large cap","Communication Services","$16,497,840,229","1.57%","8.13","1.19","0.84","Analyze"
"WAT","Waters Corp","Common stocks","Large cap","Health Care","$16,301,817,707","0.00%","23.12","5.68","43.44","Analyze"
"AMCR","Amcor plc","Common stocks","Large cap","Materials","$16,215,422,965","4.35%","16.86","1.15","3.55","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$16,198,075,405","0.00%","23.06","4.02","4.44","Analyze"
"MPWR","Monolithic Power Systems Inc","Common stocks","Large cap","Information Technology","$16,111,324,260","0.83%","55.57","12.10","11.57","Analyze"
"CAG","Conagra Brands Inc","Common stocks","Large cap","Consumer Staples","$16,088,590,585","3.72%","15.64","1.42","1.85","Analyze"
"CMS","CMS Energy Corp","Common stocks","Large cap","Utilities","$16,088,443,787","3.24%","16.10","2.09","1.64","Analyze"
"XYL","Xylem Inc","Common stocks","Large cap","Industrials","$16,003,744,367","1.32%","38.02","3.07","5.02","Analyze"
"TDY","Teledyne Technologies Inc","Common stocks","Large cap","Information Technology","$15,835,562,870","0.00%","27.24","3.09","1.99","Analyze"
"HPE","Hewlett Packard Enterprise","Common stocks","Large cap","Information Technology","$15,826,421,021","3.85%","4.23","0.57","0.77","Analyze"
"EQT","EQT Corporation","Common stocks","Large cap","Energy","$15,800,938,279","0.93%","-6.11","2.84","1.96","Analyze"
"WAB","Westinghouse Air Brake Technologies","Common stocks","Large cap","Industrials","$15,694,913,080","0.66%","26.38","1.98","1.56","Analyze"
"FDS","Factset Research Systems Inc","Common stocks","Large cap","Financials","$15,677,236,625","0.83%","37.56","9.40","12.95","Analyze"
"CLX","Clorox","Common stocks","Large cap","Consumer Staples","$15,528,016,271","3.66%","34.54","2.18","39.55","Analyze"
"BALL","Ball Corporation","Common stocks","Large cap","Materials","$15,504,786,410","1.62%","13.55","1.08","3.91","Analyze"
"DRI","Darden Restaurants Inc","Common stocks","Large cap","Consumer Discretionary","$15,502,768,764","3.60%","15.13","1.67","6.88","Analyze"
"HOLX","Hologic Inc","Common stocks","Large cap","Health Care","$15,471,004,652","0.00%","9.96","2.87","3.23","Analyze"
"IEX","IDEX Corp","Common stocks","Large cap","Industrials","$15,373,625,982","1.11%","32.54","5.37","5.35","Analyze"
"GRMN","Garmin Ltd","Common stocks","Large cap","Consumer Discretionary","$15,347,411,484","1.65%","14.10","3.02","2.42","Analyze"
"PKI","Perkinelmer Inc","Common stocks","Large cap","Health Care","$15,317,275,604","0.23%","20.58","3.05","2.09","Analyze"
"CINF","Cincinnati Financial Corp","Common stocks","Large cap","Financials","$15,243,347,625","2.79%","7.49","1.77","1.27","Analyze"
"SJM","J.M. Smucker","Common stocks","Large cap","Consumer Staples","$15,061,880,716","2.79%","26.14","1.91","1.82","Analyze"
"EXPD","Expeditors International Of Washington","Common stocks","Large cap","Industrials","$15,059,266,167","1.39%","10.13","0.84","3.89","Analyze"
"INCY","Incyte Corp","Common stocks","Large cap","Health Care","$15,031,862,313","0.00%","16.03","4.83","3.87","Analyze"
"SYF","Synchrony Financial","Common stocks","Large cap","Financials","$14,939,347,365","2.84%","3.64","0.95","1.08","Analyze"
"KEY","Keycorp","Common stocks","Large cap","Financials","$14,863,585,652","4.82%","6.23","2.13","0.95","Analyze"
"VTR","Ventas, Inc","REITs","Large cap","Real Estate","$14,637,481,381","4.84%","102.00","3.72","1.38","Analyze"
"DGX","Quest Diagnostics Inc","Common stocks","Large cap","Health Care","$14,461,512,582","2.09%","7.73","1.35","2.27","Analyze"
"ESS","Essex Property Trust, Inc","REITs","Large cap","Real Estate","$14,421,137,171","3.88%","37.56","9.83","2.48","Analyze"
"CPB","Campbell Soup","Common stocks","Large cap","Consumer Staples","$14,285,669,693","3.07%","15.80","1.72","4.34","Analyze"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$14,284,899,234","0.00%","83.37","8.15","5.74","Analyze"
"BBY","Best Buy Inc","Common stocks","Large cap","Consumer Discretionary","$14,259,785,315","5.19%","8.36","0.00","4.76","Analyze"
"FMC","FMC Corp","Common stocks","Large cap","Materials","$14,160,341,021","1.87%","18.60","2.72","4.63","Analyze"
"EXPE","Expedia Inc","Common stocks","Large cap","Consumer Discretionary","$14,092,138,054","0.00%","64.93","1.47","6.72","Analyze"
"ATO","Atmos Energy Corp","Common stocks","Large cap","Utilities","$13,972,404,770","2.70%","19.71","3.68","1.59","Analyze"
"NTAP","NetApp Inc","Common stocks","Large cap","Information Technology","$13,920,099,748","3.09%","13.33","2.25","15.29","Analyze"
"ETSY","Etsy Inc","Common stocks","Large cap","Consumer Discretionary","$13,796,571,506","0.00%","30.68","5.85","19.75","Analyze"
"NVR","NVR, Inc.","Common stocks","Large cap","Consumer Discretionary","$13,763,984,558","0.00%","9.68","1.48","5.02","Analyze"
"HWM","Howmet Aerospace Inc.","Common stocks","Large cap","Industrials","$13,683,375,413","0.24%","44.65","2.69","3.97","Analyze"
"LKQ","LKQ Corp","Common stocks","Large cap","Consumer Discretionary","$13,642,669,706","2.00%","12.55","1.03","2.38","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$13,639,946,986","0.00%","46.97","4.38","-108.94","Analyze"
"JKHY","Jack Henry & Associates, Inc.","Common stocks","Large cap","Information Technology","$13,514,677,074","1.04%","37.32","7.07","10.09","Analyze"
"CTLT","Catalent Inc","Common stocks","Large cap","Health Care","$13,488,596,906","0.00%","27.14","2.87","2.84","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$13,464,594,165","2.72%","9.51","2.65","2.51","Analyze"
"APA","Apache Corp","Common stocks","Large cap","Energy","$13,443,250,475","1.06%","5.31","1.53","14.18","Analyze"
"AVY","Avery Dennison Corp","Common stocks","Large cap","Materials","$13,438,184,590","1.73%","18.55","1.54","7.00","Analyze"
"ZBRA","Zebra Technologies Corp","Common stocks","Large cap","Information Technology","$13,392,878,743","0.00%","15.91","2.34","4.46","Analyze"
"TRMB","Trimble Inc","Common stocks","Large cap","Information Technology","$13,328,922,237","0.00%","26.61","3.54","3.26","Analyze"
"OMC","Omnicom Group Inc","Common stocks","Large cap","Communication Services","$13,275,859,405","4.26%","10.69","0.93","4.42","Analyze"
"EVRG","Evergy Inc","Common stocks","Large cap","Utilities","$13,179,153,183","3.94%","16.24","2.54","1.43","Analyze"
"FLT","Fleetcor Technologies Inc","Common stocks","Large cap","Information Technology","$13,179,094,232","0.00%","14.71","4.37","4.42","Analyze"
"IRM","Iron Mountain Incorporated","REITs","Large cap","Real Estate","$13,098,514,133","5.39%","29.91","2.81","17.64","Analyze"
"TXT","Textron Inc","Common stocks","Large cap","Industrials","$12,994,385,389","0.13%","17.41","1.04","1.91","Analyze"
"POOL","Pool Corp","Common stocks","Large cap","Consumer Discretionary","$12,777,875,833","1.11%","17.29","2.26","10.77","Analyze"
"COO","Cooper Companies, Inc.","Common stocks","Large cap","Health Care","$12,713,993,035","0.02%","13.47","4.20","1.83","Analyze"
"AKAM","Akamai Technologies Inc","Common stocks","Large cap","Information Technology","$12,697,496,583","0.00%","20.17","3.61","2.89","Analyze"
"CBOE","Cboe Global Markets, Inc.","Common stocks","Large cap","Financials","$12,590,649,223","1.62%","25.04","3.64","3.51","Analyze"
"PTC","PTC Inc","Common stocks","Large cap","Information Technology","$12,585,347,846","0.00%","26.23","6.70","6.04","Analyze"
"LDOS","Leidos Holdings Inc","Common stocks","Large cap","Industrials","$12,546,719,134","1.56%","33.32","0.00","3.15","Analyze"
"LNT","Alliant Energy Corp","Common stocks","Large cap","Utilities","$12,513,691,190","3.34%","18.55","3.26","2.08","Analyze"
"L","Loews Corp","Common stocks","Large cap","Financials","$12,391,921,850","0.49%","7.56","0.91","0.75","Analyze"
"MGM","MGM Resorts International","Common stocks","Large cap","Consumer Discretionary","$12,351,269,459","0.03%","7.85","1.13","2.37","Analyze"
"UDR","UDR, Inc","REITs","Large cap","Real Estate","$12,295,096,726","3.92%","80.13","9.13","3.69","Analyze"
"NDSN","Nordson Corp","Common stocks","Large cap","Industrials","$12,272,838,506","1.01%","24.68","5.02","5.53","Analyze"
"PARA","Paramount Global - Class B","Common stocks","Large cap","Communication Services","$12,156,478,893","5.13%","2.73","0.43","0.49","Analyze"
"TER","Teradyne Inc","Common stocks","Large cap","Information Technology","$11,932,653,665","0.56%","11.88","3.25","4.69","Analyze"
"CPT","Camden Property Trust","REITs","Large cap","Real Estate","$11,929,013,950","3.23%","34.22","10.05","2.87","Analyze"
"LW","Lamb Weston Holdings Inc","Common stocks","Large cap","Consumer Staples","$11,927,921,748","1.16%","49.92","3.02","29.83","Analyze"
"NLOK","NortonLifeLock Inc.","Common stocks","Large cap","Information Technology","$11,872,987,246","2.39%","18.85","4.25","-128.53","Analyze"
"BIO","Bio Rad Laboratories Inc Class A","Common stocks","Large cap","Health Care","$11,691,591,147","0.00%","-95.04","4.04","0.94","Analyze"
"HST","Host Hotels & Resorts, Inc","REITs","Large cap","Real Estate","$11,681,345,427","1.28%","37.28","0.00","1.81","Analyze"
"CHRW","C.H. Robinson Worldwide, Inc.","Common stocks","Large cap","Industrials","$11,662,373,768","2.32%","12.38","0.46","5.56","Analyze"
"PEAK","Healthpeak Properties, Inc.","REITs","Large cap","Real Estate","$11,660,354,875","5.47%","27.95","6.01","1.87","Analyze"
"KIM","Kimco Realty Corporation","REITs","Large cap","Real Estate","$11,528,504,256","4.13%","12.73","7.64","1.17","Analyze"
"SEDG","SolarEdge Technologies Inc","Common stocks","Large cap","Information Technology","$11,511,693,314","0.00%","65.48","5.20","5.61","Analyze"
"IP","International Paper","Common stocks","Large cap","Materials","$11,428,871,860","5.77%","6.48","0.59","1.29","Analyze"
"SWK","Stanley Black & Decker Inc","Common stocks","Large cap","Industrials","$11,417,292,778","4.06%","8.37","0.72","1.21","Analyze"
"ABMD","Abiomed Inc","Common stocks","Large cap","Health Care","$11,270,938,657","0.00%","49.20","10.92","7.38","Analyze"
"UAL","United Continental Holdings Inc","Common stocks","Large cap","Industrials","$11,174,668,672","0.00%","-5.59","0.39","3.06","Analyze"
"TECH","Bio-Techne Corp","Common stocks","Large cap","Health Care","$11,158,448,569","0.45%","49.03","10.37","6.45","Analyze"
"SNA","Snap On Inc","Common stocks","Large cap","Industrials","$11,148,436,489","2.69%","13.17","2.39","2.59","Analyze"
"DPZ","Dominos Pizza Inc","Common stocks","Large cap","Consumer Discretionary","$11,112,540,465","1.36%","22.52","2.53","-2.59","Analyze"
